actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
-5.077428,-2.059398,-1.424854,0.570729,1.967366,6.199388,0.295833,0.552600,0.443030,-1.355366,-0.148988,-0.115933
-5.077428,-2.059398,-1.424866,0.570705,1.967354,6.199400,0.295834,0.552602,0.443024,-1.355401,-0.148962,-0.115920
-5.077464,-2.059422,-1.424878,0.570693,1.967366,6.199376,0.295857,0.552601,0.443003,-1.355449,-0.148952,-0.115948
-5.077416,-2.059422,-1.424830,0.570681,1.967354,6.199424,0.295832,0.552617,0.443023,-1.355413,-0.148951,-0.115886
-5.077452,-2.059398,-1.424818,0.570693,1.967354,6.199400,0.295848,0.552597,0.443043,-1.355369,-0.148954,-0.115951
-5.077476,-2.059374,-1.424866,0.570681,1.967378,6.199412,0.295857,0.552583,0.443037,-1.355406,-0.148941,-0.115934
-5.077476,-2.059422,-1.424854,0.570681,1.967366,6.199352,0.295864,0.552599,0.443013,-1.355436,-0.148963,-0.115982
-5.077440,-2.059386,-1.424866,0.570717,1.967366,6.199424,0.295838,0.552594,0.443032,-1.355381,-0.148953,-0.115909
-5.077428,-2.059422,-1.424830,0.570657,1.967342,6.199400,0.295841,0.552616,0.443022,-1.355436,-0.148943,-0.115917
-5.077452,-2.059386,-1.424854,0.570681,1.967354,6.199364,0.295847,0.552594,0.443035,-1.355401,-0.148970,-0.115970
-5.077428,-2.059422,-1.424842,0.570681,1.967366,6.199412,0.295838,0.552613,0.443018,-1.355425,-0.148958,-0.115895
-5.077440,-2.059409,-1.424866,0.570681,1.967354,6.199376,0.295843,0.552605,0.443015,-1.355434,-0.148961,-0.115940
-5.077440,-2.059434,-1.424902,0.570705,1.967366,6.199400,0.295844,0.552610,0.442986,-1.355470,-0.148947,-0.115900
-5.077428,-2.059434,-1.424818,0.570693,1.967354,6.199400,0.295840,0.552616,0.443021,-1.355401,-0.148961,-0.115920
-5.077428,-2.059386,-1.424830,0.570669,1.967366,6.199376,0.295834,0.552603,0.443044,-1.355388,-0.148990,-0.115936
-5.077452,-2.059446,-1.424854,0.570705,1.967390,6.199436,0.295851,0.552611,0.442998,-1.355440,-0.148943,-0.115874
